feature,value,F,P,T
attn_0_0_outputs,(,-0.3893371,0.60064846,-1.0043755
attn_0_0_outputs,),0.45308644,-0.33719206,-0.25703704
attn_0_0_outputs,<pad>,0.7680508,-1.140804,-0.6336192
attn_0_0_outputs,<s>,1.3979992,-0.55402267,-2.9333327
attn_0_0_outputs,_,-0.27462152,-0.2883787,-0.084659226
attn_0_0_outputs,_,0.41020688,0.80682915,-0.36093912
attn_0_0_outputs,_,0.056031883,-0.039105184,0.19863698
attn_0_0_outputs,_,-0.41961256,-0.54929376,0.43671665
attn_0_0_outputs,_,0.13279785,0.36707786,0.40994072
attn_0_0_outputs,_,-0.2363711,0.5147661,-0.18510109
attn_0_0_outputs,_,0.12620896,-0.18906875,0.9231106
attn_0_0_outputs,_,-0.029982865,0.23939228,1.6595911
attn_0_0_outputs,_,-0.73210377,-1.1544671,0.57133
attn_0_0_outputs,_,-0.23087524,1.8027706,-1.5571856
attn_0_0_outputs,{,-0.04748568,1.2735734,-0.45339546
attn_0_0_outputs,},0.5547761,-0.3066463,-0.1081352
attn_0_1_outputs,(,-0.06017389,0.23692839,-0.65924984
attn_0_1_outputs,),1.5613009,0.05749913,-1.1849948
attn_0_1_outputs,<pad>,0.30928898,0.60175115,-0.77076155
attn_0_1_outputs,<s>,-0.05464487,-6.3642993,5.9092317
attn_0_1_outputs,_,0.82652664,0.4707333,0.045426637
attn_0_1_outputs,_,-0.43456507,1.0889953,-0.6075947
attn_0_1_outputs,_,-0.650409,0.48931292,-0.960644
attn_0_1_outputs,_,-0.14928144,-0.3577456,-0.08982656
attn_0_1_outputs,_,-0.4732285,-0.5932854,-0.044864617
attn_0_1_outputs,_,0.17000043,-0.046643566,0.04345899
attn_0_1_outputs,_,-0.049569067,0.36960238,0.43352073
attn_0_1_outputs,_,-0.43735144,-0.4731728,0.18792638
attn_0_1_outputs,_,-0.46125263,-0.9085558,1.1110471
attn_0_1_outputs,_,0.19633614,1.5570519,0.18224098
attn_0_1_outputs,{,-0.11224139,0.64842534,-0.33784837
attn_0_1_outputs,},-0.6292952,1.3489552,0.3662693
attn_1_0_outputs,0,0.20661825,1.3388423,-2.5574758
attn_1_0_outputs,1,2.5823343,-0.7297078,-3.195439
attn_1_0_outputs,10,-0.5139535,-0.078736916,1.6875057
attn_1_0_outputs,11,0.041748732,-0.14228384,-0.14014556
attn_1_0_outputs,12,-0.454622,-0.6740401,0.04633342
attn_1_0_outputs,13,3.6046548,-1.8717623,-2.699525
attn_1_0_outputs,14,-1.5789233,0.97090966,-0.3266689
attn_1_0_outputs,15,-0.24816914,-0.10174749,1.3838878
