feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,0.98736316,0.5394174,0.21742561,0.24346785,-0.103368565,-0.21694991,-1.5324162
attn_0_0_outputs,1,-0.2063019,0.80945003,-0.2866721,0.007313138,-0.35592318,-0.5565029,-1.0655568
attn_0_0_outputs,2,0.20847754,0.21758708,1.0011879,-0.0131255565,-0.21939726,-0.42798236,-1.7165092
attn_0_0_outputs,3,-0.1017029,0.1030453,-0.07993311,0.80131775,-0.13363668,-0.48335359,-0.83481735
attn_0_0_outputs,4,-0.02161614,0.034849588,-0.06598576,0.20145425,0.58972216,-0.44829977,-1.5770757
attn_0_0_outputs,5,0.14501196,0.012051053,-0.13149232,0.1521592,-0.100562,1.0446728,-2.3360646
attn_0_0_outputs,<pad>,0.18897067,0.3630526,-0.0119025,-0.48141834,0.037331402,-0.09584948,0.0792943
attn_0_0_outputs,<s>,-0.15639669,-0.1482988,-0.52501374,-0.38299033,-0.5241167,-0.26351464,2.224251
attn_0_1_outputs,0,0.4292239,-0.080573775,-0.098356284,-0.51716805,-0.12448841,-0.5675486,-0.5517332
attn_0_1_outputs,1,0.29816106,0.9541842,-0.015385474,-0.110774316,0.5507154,-0.06946115,-0.66651154
attn_0_1_outputs,2,0.20123567,-0.18573031,0.670195,-0.621215,0.54975235,0.08123462,-0.36130863
attn_0_1_outputs,3,0.115296416,-0.35287434,-0.06746811,1.0969087,0.6367148,-0.23710616,-1.3388677
attn_0_1_outputs,4,0.5179801,-0.49625623,0.42564106,0.4368044,-0.09755647,0.1578998,0.2735454
attn_0_1_outputs,5,0.1292379,-0.25950962,0.13691223,-0.12490107,0.75440073,0.8000964,-1.4208225
attn_0_1_outputs,<pad>,0.20282696,-0.11774908,0.26915443,-0.07142812,-0.06902186,-0.5643183,0.29516318
attn_0_1_outputs,<s>,1.3682972,0.21954171,0.7879022,0.9371944,-0.624744,-0.12748541,-1.9826199
attn_0_2_outputs,0,0.09585698,0.37555927,0.41093826,0.06828464,0.20404658,0.17795518,-0.8206563
attn_0_2_outputs,1,0.15660453,0.11174832,0.02397962,-0.18818694,-0.009796616,-0.18852746,-1.1206073
attn_0_2_outputs,2,0.03983224,0.07892772,-0.049946662,-0.21872397,-0.02876237,-0.07202265,-1.3795103
attn_0_2_outputs,3,0.07079135,-0.11701612,-0.19106247,-0.33109325,-0.04588026,-0.08778209,-0.3471573
attn_0_2_outputs,4,0.34481516,0.23878291,0.31847802,-0.0063464064,0.03688399,0.099164404,-0.7309719
attn_0_2_outputs,5,0.5493246,0.5943563,0.60708135,0.4326725,0.6733723,0.28318098,-1.746983
attn_0_2_outputs,<pad>,-0.104536176,-0.8730581,0.12720074,0.012336862,-0.21750692,-0.20581841,0.6070093
attn_0_2_outputs,<s>,0.31995058,-0.024539208,-0.3836564,-0.3347757,0.05061686,0.018906541,0.26505485
attn_0_3_outputs,0,-0.48544195,1.0235558,0.7426494,1.033459,0.87771827,0.71074075,-1.1145381
attn_0_3_outputs,1,0.35043156,-0.64900726,0.5310608,0.8941351,1.0406681,0.52197057,-0.9680587
attn_0_3_outputs,2,0.43915364,0.3976644,-0.8538206,0.37903544,0.4123812,0.2383048,-1.4734131
attn_0_3_outputs,3,0.5038623,0.56483036,0.80965453,-0.6711964,0.49561232,0.36602813,-0.8717661
