epoch,epoch_loss,split,loss,acc,sample_fn
0,1.5311221,train,0.9449408,0.6443884179917094,gumbel_soft
0,1.5311221,val,0.9399548,0.6441522491349481,gumbel_soft
0,1.5311221,test,0.9547901,0.6489321843387036,gumbel_soft
1,0.75189686,train,0.57627934,0.781166862587391,gumbel_soft
1,0.75189686,val,0.5985561,0.7627681660899654,gumbel_soft
1,0.75189686,test,0.5804858,0.7770700636942676,gumbel_soft
2,0.4888282,train,0.4096874,0.866516117057477,gumbel_soft
2,0.4888282,val,0.4063544,0.874878892733564,gumbel_soft
2,0.4888282,test,0.40156657,0.8712376670413389,gumbel_soft
3,0.36778432,train,0.30780363,0.9166460434325311,gumbel_soft
3,0.36778432,val,0.29361755,0.9262283737024222,gumbel_soft
3,0.36778432,test,0.3190562,0.90320969151992,gumbel_soft
4,0.2878947,train,0.28956798,0.9123151642640599,gumbel_soft
4,0.2878947,val,0.30451912,0.9006228373702422,gumbel_soft
4,0.2878947,test,0.27998385,0.9225677532159361,gumbel_soft
5,0.24541743,train,0.2116758,0.9438068427890862,gumbel_soft
5,0.24541743,val,0.21483444,0.9420069204152249,gumbel_soft
5,0.24541743,test,0.19687471,0.9544148869738979,gumbel_soft
6,0.21021248,train,0.17273925,0.9534894512157397,gumbel_soft
6,0.21021248,val,0.16833878,0.956955017301038,gumbel_soft
6,0.21021248,test,0.17254393,0.9532908704883227,gumbel_soft
7,0.15899493,train,0.13340579,0.9699003897791252,gumbel_soft
7,0.15899493,val,0.122599065,0.9698269896193772,gumbel_soft
7,0.15899493,test,0.12158086,0.974896965155489,gumbel_soft
8,0.12087,train,0.1080803,0.9735042999443173,gumbel_soft
8,0.12087,val,0.095675364,0.9806228373702423,gumbel_soft
8,0.12087,test,0.09463905,0.9828899712751342,gumbel_soft
9,0.09457964,train,0.08675124,0.9804801088906763,gumbel_soft
9,0.09457964,val,0.08184845,0.9843598615916955,gumbel_soft
9,0.09457964,test,0.07953734,0.985013113525665,gumbel_soft
10,0.07895899,train,0.07912817,0.982104188578853,gumbel_soft
