feature,value,F,P,T
attn_0_0_outputs,(,0.9789958,-0.9539448,0.53985494
attn_0_0_outputs,),0.11568203,0.64660925,0.19243687
attn_0_0_outputs,<pad>,-0.078614004,0.82650876,0.8828689
attn_0_0_outputs,<s>,1.2381531,-0.5957048,-0.30663294
attn_0_0_outputs,_,-0.3779799,0.05744042,-0.7684509
attn_0_0_outputs,_,0.13915932,0.13531098,-0.5861323
attn_0_0_outputs,_,0.3343845,0.4984808,-0.83019316
attn_0_0_outputs,_,-0.1283294,-0.5403491,-0.26967993
attn_0_0_outputs,_,0.9890295,0.5325741,-0.4170378
attn_0_0_outputs,_,-0.12649955,0.11663663,-0.08871587
attn_0_0_outputs,_,0.8481359,-0.576669,-1.5385789
attn_0_0_outputs,_,0.061805654,0.0306291,-0.5438114
attn_0_0_outputs,_,0.13679948,-0.116016254,-0.46617606
attn_0_0_outputs,_,1.0246582,0.35601133,-0.52912915
attn_0_0_outputs,_,0.96136725,-0.274221,-0.68117046
attn_0_0_outputs,_,0.43254003,-0.2622787,-1.6702826
attn_0_1_outputs,(,-1.6120325,1.4808664,0.23064302
attn_0_1_outputs,),0.6379669,-0.9579526,-0.05949584
attn_0_1_outputs,<pad>,0.034665417,0.37050408,0.18386596
attn_0_1_outputs,<s>,0.48779792,-0.5117415,0.21153295
attn_0_1_outputs,_,-0.06255514,-0.2871885,-0.09493341
attn_0_1_outputs,_,0.72486246,0.24468562,-0.5814043
attn_0_1_outputs,_,0.16071454,0.21698093,-0.3032302
attn_0_1_outputs,_,0.47982475,-0.10733624,-1.3073684
attn_0_1_outputs,_,0.47177246,-0.12996227,-0.49356416
attn_0_1_outputs,_,0.6784365,0.53274596,-0.45669633
attn_0_1_outputs,_,0.3156156,0.85665333,-0.8027592
attn_0_1_outputs,_,0.051088277,0.19074303,-1.1543329
attn_0_1_outputs,_,-0.19082724,-0.3359173,-0.48715153
attn_0_1_outputs,_,-0.24939257,0.17616074,-0.7034906
attn_0_1_outputs,_,1.0396061,-0.7371791,-1.7539171
attn_0_1_outputs,_,-0.17059903,-0.005715654,-1.2624489
attn_0_2_outputs,(,-0.5762265,1.1705754,-0.5054945
attn_0_2_outputs,),1.1255265,-0.28592765,0.6302246
attn_0_2_outputs,<pad>,0.5453005,-0.08776257,-0.5920892
attn_0_2_outputs,<s>,-0.062344503,0.42306268,-0.14590484
attn_0_2_outputs,_,0.24954315,-0.12792292,-0.64178854
attn_0_2_outputs,_,0.6614238,-0.09799023,-1.3164117
attn_0_2_outputs,_,0.3834353,-1.0680788,-0.78937364
attn_0_2_outputs,_,0.18254723,-1.1544067,-1.4374621
attn_0_2_outputs,_,0.95593214,-0.14147365,-0.8555735
attn_0_2_outputs,_,0.35523492,0.35940272,-0.4215452
attn_0_2_outputs,_,1.160828,-1.302631,-1.200085
attn_0_2_outputs,_,1.6566633,-1.4796525,-1.6065068
attn_0_2_outputs,_,0.026238276,-0.6486898,-0.73054576
attn_0_2_outputs,_,0.6578705,-0.12810695,-0.41737553
attn_0_2_outputs,_,0.6943683,0.011934472,-0.1158396
attn_0_2_outputs,_,0.48667425,-0.7046459,-1.3432623
attn_0_3_outputs,(,-0.868991,0.4228145,-0.26507995
attn_0_3_outputs,),1.1458787,-0.7282099,0.015118282
attn_0_3_outputs,<pad>,0.26139894,-0.54839337,0.78454924
attn_0_3_outputs,<s>,-0.27816123,0.6261518,-0.2132819
attn_0_3_outputs,_,0.35313818,0.17198099,-0.3058715
attn_0_3_outputs,_,-0.8320296,-0.774987,-1.0796582
attn_0_3_outputs,_,0.029833974,0.5854243,-0.39627972
attn_0_3_outputs,_,1.0092245,0.092564546,-0.436902
attn_0_3_outputs,_,0.2688786,1.0646658,-0.6548249
attn_0_3_outputs,_,0.015585706,-0.93035585,-0.66631097
attn_0_3_outputs,_,-0.32325843,-0.3650997,-0.40662238
attn_0_3_outputs,_,0.9578493,0.85460234,-0.4034176
attn_0_3_outputs,_,0.36199585,-0.24185318,-0.9290984
attn_0_3_outputs,_,0.22557913,-0.11568577,-0.17827252
attn_0_3_outputs,_,0.45610452,0.49576342,-1.0704546
attn_0_3_outputs,_,1.0282507,-0.5817101,-0.54507643
attn_0_4_outputs,(,-0.57198596,1.0281829,0.017516391
attn_0_4_outputs,),0.89871615,-1.6417646,-0.697377
attn_0_4_outputs,<pad>,-0.27093998,0.16818139,0.75528085
attn_0_4_outputs,<s>,-0.46220338,0.02551722,-0.65978336
attn_0_4_outputs,_,0.72046536,0.38500893,0.65321153
attn_0_4_outputs,_,-0.187246,-0.012666743,-0.2948789
attn_0_4_outputs,_,-0.15520902,-0.067981504,-0.5204297
attn_0_4_outputs,_,-0.19620776,-0.39081925,-0.5672313
attn_0_4_outputs,_,-0.008757913,-0.5424253,0.01383126
attn_0_4_outputs,_,0.11617717,-0.5107364,-0.6145841
attn_0_4_outputs,_,0.2130573,0.5933151,1.0183501
attn_0_4_outputs,_,-0.10706844,-0.7979262,-0.02792537
attn_0_4_outputs,_,0.058453593,0.020226438,-0.068356425
attn_0_4_outputs,_,0.1586766,-0.12705952,0.45261452
attn_0_4_outputs,_,0.67978275,-0.2705018,-0.9109793
attn_0_4_outputs,_,0.15550026,-0.72147745,-0.19646396
attn_0_5_outputs,(,-0.48327217,0.96529305,-0.6073223
attn_0_5_outputs,),0.6151347,-0.5226467,-0.24078818
attn_0_5_outputs,<pad>,0.22101018,-0.03871848,0.8670379
attn_0_5_outputs,<s>,1.1614333,-1.1116949,0.66622204
attn_0_5_outputs,_,0.39961252,-0.45391077,-0.058692355
attn_0_5_outputs,_,-0.03355299,0.5357932,-1.0329318
attn_0_5_outputs,_,0.48255965,0.41914484,-1.4786078
attn_0_5_outputs,_,-0.29373643,0.5521223,-1.0316219
attn_0_5_outputs,_,0.5911306,-0.16366272,-1.7936486
attn_0_5_outputs,_,0.77576506,-0.16463907,-0.6444324
attn_0_5_outputs,_,-0.10207005,-0.6961554,-0.8851801
attn_0_5_outputs,_,0.24059168,-0.14770797,-1.1223775
attn_0_5_outputs,_,1.9465065,-0.40555996,-1.4579105
attn_0_5_outputs,_,0.119296074,-0.8337003,-1.5108101
attn_0_5_outputs,_,-0.17438877,0.59597784,-1.1321512
attn_0_5_outputs,_,0.2907706,-0.21773449,-1.0447083
attn_0_6_outputs,(,-0.71917045,0.5621577,-0.18273924
attn_0_6_outputs,),1.2738335,-1.2943612,-0.4278699
attn_0_6_outputs,<pad>,1.5600911,-2.142401,0.36389464
attn_0_6_outputs,<s>,-0.9746458,0.6334291,0.50856274
attn_0_6_outputs,_,1.575612,-1.2623484,-0.18883775
attn_0_6_outputs,_,2.2216935,-1.8638954,-2.2110732
attn_0_6_outputs,_,-1.2340139,1.7708013,-2.959687
attn_0_6_outputs,_,-0.1607312,-0.6724463,-0.42836127
attn_0_6_outputs,_,-2.6582959,1.5501052,1.0253261
attn_0_6_outputs,_,-0.37125832,-0.06967835,-1.4253532
attn_0_6_outputs,_,-0.6180808,2.4293444,-0.30751488
attn_0_6_outputs,_,-1.2845305,0.76929754,1.9316072
attn_0_6_outputs,_,-1.8895967,1.5490906,0.9695123
attn_0_6_outputs,_,1.5064657,0.99992126,-0.4289239
attn_0_6_outputs,_,-2.0652325,1.1686144,-1.2445207
attn_0_6_outputs,_,0.29957166,-0.19725071,-0.8545351
attn_0_7_outputs,(,-0.71099776,0.72063106,0.041894432
attn_0_7_outputs,),0.62700427,-0.501709,0.13569246
attn_0_7_outputs,<pad>,-0.02071463,-0.50377285,0.9343505
attn_0_7_outputs,<s>,-0.2061391,0.46879962,-1.301254
attn_0_7_outputs,_,0.015688248,0.10977284,-0.35678753
attn_0_7_outputs,_,-0.024631789,-0.019766843,0.026461568
attn_0_7_outputs,_,0.4857173,0.592579,-1.0748398
attn_0_7_outputs,_,0.05728148,-0.1138657,-0.4852712
