epoch,epoch_loss,split,loss,acc,sample_fn
0,1.4647244,train,1.1654903,0.614642379466276,gumbel_soft
0,1.4647244,val,1.169511,0.6113130395274875,gumbel_soft
0,1.4647244,test,1.1625111,0.615424430641822,gumbel_soft
1,1.1009184,train,1.0600241,0.6179733774918795,gumbel_soft
1,1.1009184,val,1.0625664,0.6169354838709677,gumbel_soft
1,1.1009184,test,1.0604285,0.6192546583850932,gumbel_soft
2,1.049451,train,1.0370035,0.6118272721482708,gumbel_soft
2,1.049451,val,1.0402086,0.6070536119945479,gumbel_soft
2,1.049451,test,1.0370313,0.6127846790890269,gumbel_soft
3,1.0258704,train,1.0115232,0.6266989363734794,gumbel_soft
3,1.0258704,val,1.0131629,0.6256815084052704,gumbel_soft
3,1.0258704,test,1.0142465,0.6295548654244306,gumbel_soft
4,0.9856591,train,0.9660505,0.6438188650404433,gumbel_soft
4,0.9856591,val,0.9676754,0.6402203543843707,gumbel_soft
4,0.9856591,test,0.9722825,0.6403209109730849,gumbel_soft
5,0.94869226,train,0.92321,0.6588497547926884,gumbel_soft
5,0.94869226,val,0.93653023,0.6553839164016356,gumbel_soft
5,0.94869226,test,0.9192109,0.6598861283643892,gumbel_soft
6,0.9144377,train,0.89577645,0.6667919240812687,gumbel_soft
6,0.9144377,val,0.888252,0.6694684234438891,gumbel_soft
6,0.9144377,test,0.8894995,0.6695134575569358,gumbel_soft
7,0.8898613,train,0.8995421,0.6667218648493727,gumbel_soft
7,0.8898613,val,0.9072231,0.6654929577464789,gumbel_soft
7,0.8898613,test,0.91413635,0.6619565217391304,gumbel_soft
8,0.8570498,train,0.8384446,0.6856569645245526,gumbel_soft
8,0.8570498,val,0.8498428,0.6820763289413903,gumbel_soft
8,0.8570498,test,0.8405532,0.689648033126294,gumbel_soft
9,0.8250398,train,0.80810285,0.6936628240239475,gumbel_soft
9,0.8250398,val,0.80361503,0.6932644252612449,gumbel_soft
9,0.8250398,test,0.8096331,0.6926501035196687,gumbel_soft
10,0.7924901,train,0.7572614,0.7067639003885103,gumbel_soft
10,0.7924901,val,0.7595676,0.7055315765561109,gumbel_soft
10,0.7924901,test,0.775406,0.6970496894409938,gumbel_soft
11,0.7548734,train,0.7469053,0.7099484109292402,gumbel_soft
11,0.7548734,val,0.744234,0.7039413902771468,gumbel_soft
11,0.7548734,test,0.7424291,0.7124741200828157,gumbel_soft
12,0.7271384,train,0.718052,0.722953951977581,gumbel_soft
12,0.7271384,val,0.7347505,0.7151862789641072,gumbel_soft
12,0.7271384,test,0.7083156,0.7251035196687371,gumbel_soft
13,0.7128126,train,0.6997391,0.7226227628813451,gumbel_soft
13,0.7128126,val,0.70206434,0.7188777828259881,gumbel_soft
13,0.7128126,test,0.6881739,0.7269668737060041,gumbel_soft
14,0.6998035,train,0.69131535,0.7301445767785492,gumbel_soft
14,0.6998035,val,0.6939586,0.7291004089050431,gumbel_soft
14,0.6998035,test,0.69019175,0.7281573498964803,gumbel_soft
15,0.6845086,train,0.68195397,0.7300681485255717,gumbel_soft
15,0.6845086,val,0.6883568,0.7277373920945025,gumbel_soft
15,0.6845086,test,0.67645305,0.731055900621118,gumbel_soft
16,0.67327577,train,0.6727182,0.7319342717024393,gumbel_soft
16,0.67327577,val,0.6780002,0.7261472058155384,gumbel_soft
16,0.67327577,test,0.67791677,0.7262939958592133,gumbel_soft
17,0.65740836,train,0.6469546,0.739271383988281,gumbel_soft
17,0.65740836,val,0.6549467,0.7381871876419809,gumbel_soft
17,0.65740836,test,0.6510293,0.7396997929606626,gumbel_soft
18,0.6373351,train,0.6382477,0.745697726259474,gumbel_soft
18,0.6373351,val,0.64399475,0.7429577464788732,gumbel_soft
18,0.6373351,test,0.63194543,0.7457039337474121,gumbel_soft
19,0.6387724,train,0.6343592,0.7428762499203873,gumbel_soft
19,0.6387724,val,0.63598144,0.7419922762380736,gumbel_soft
19,0.6387724,test,0.6413007,0.7393374741200828,gumbel_soft
20,0.6222276,train,0.6130969,0.7499331252786446,gumbel_soft
20,0.6222276,val,0.61100227,0.7480690595184007,gumbel_soft
20,0.6222276,test,0.61765355,0.7469979296066253,gumbel_soft
21,0.6211738,train,0.6176764,0.747971466785555,gumbel_soft
21,0.6211738,val,0.62693,0.7445479327578374,gumbel_soft
21,0.6211738,test,0.6128661,0.7478778467908903,gumbel_soft
22,0.6152204,train,0.6177868,0.749716578561875,gumbel_soft
22,0.6152204,val,0.6103159,0.7506815084052704,gumbel_soft
22,0.6152204,test,0.60930306,0.7490683229813665,gumbel_soft
23,0.6154723,train,0.62441,0.7485765237882938,gumbel_soft
23,0.6154723,val,0.6326517,0.7453998182644253,gumbel_soft
23,0.6154723,test,0.61807144,0.7483954451345756,gumbel_soft
24,0.6132116,train,0.59945107,0.7538691803069868,gumbel_soft
24,0.6132116,val,0.6031583,0.7543730122671513,gumbel_soft
24,0.6132116,test,0.6066336,0.7563664596273292,gumbel_soft
25,0.6097521,train,0.6040217,0.7510795490733074,gumbel_soft
25,0.6097521,val,0.6080531,0.7472739663789186,gumbel_soft
25,0.6097521,test,0.61973196,0.7493788819875776,gumbel_soft
26,0.60213405,train,0.60525316,0.7499840774472963,gumbel_soft
26,0.60213405,val,0.61481535,0.7474443434802363,gumbel_soft
26,0.60213405,test,0.6109325,0.7487060041407867,gumbel_soft
27,0.6063997,train,0.60854614,0.7474109929303866,gumbel_soft
27,0.6063997,val,0.6205195,0.743071331213085,gumbel_soft
27,0.6063997,test,0.6100874,0.747360248447205,gumbel_soft
28,0.60234094,train,0.6058924,0.7485892618304567,gumbel_soft
28,0.60234094,val,0.62047935,0.7415947296683326,gumbel_soft
28,0.60234094,test,0.60566384,0.7463250517598343,gumbel_soft
29,0.60839385,train,0.5992214,0.7526654353225909,gumbel_soft
29,0.60839385,val,0.60032487,0.7468764198091776,gumbel_soft
29,0.60839385,test,0.586407,0.7539855072463768,gumbel_soft
30,0.60583395,train,0.60370123,0.7504426469651615,gumbel_soft
30,0.60583395,val,0.6070007,0.7456269877328487,gumbel_soft
30,0.60583395,test,0.6128563,0.7488612836438924,gumbel_soft
31,0.60125786,train,0.59974074,0.7510222278835743,gumbel_soft
31,0.60125786,val,0.59532285,0.7532371649250341,gumbel_soft
31,0.60125786,test,0.61587346,0.7484989648033127,gumbel_soft
32,0.6114974,train,0.63022536,0.7410101267435195,gumbel_soft
32,0.6114974,val,0.6492987,0.736540208995911,gumbel_soft
32,0.6114974,test,0.62940496,0.742080745341615,gumbel_soft
33,0.6033341,train,0.6097802,0.745907903955162,gumbel_soft
33,0.6033341,val,0.60650134,0.7439232167196729,gumbel_soft
33,0.6033341,test,0.6043005,0.7481366459627329,gumbel_soft
34,0.6008105,train,0.59903973,0.7471307560028023,gumbel_soft
34,0.6008105,val,0.6045969,0.744263970922308,gumbel_soft
34,0.6008105,test,0.6118316,0.7442028985507246,gumbel_soft
35,0.602188,train,0.6078276,0.7464556397681676,gumbel_soft
35,0.602188,val,0.6142574,0.7439800090867787,gumbel_soft
35,0.602188,test,0.6219402,0.7450828157349897,gumbel_soft
36,0.60948193,train,0.59945893,0.7511496083052035,gumbel_soft
36,0.60948193,val,0.59240776,0.7522716946842345,gumbel_soft
36,0.60948193,test,0.60278267,0.7487060041407867,gumbel_soft
37,0.593253,train,0.6082681,0.745532131711356,gumbel_soft
37,0.593253,val,0.60808986,0.7432985006815084,gumbel_soft
37,0.593253,test,0.6076227,0.7470496894409938,gumbel_soft
38,0.6102604,train,0.6014659,0.7451627284886313,gumbel_soft
38,0.6102604,val,0.6070862,0.7417083144025443,gumbel_soft
38,0.6102604,test,0.5954168,0.7437370600414078,gumbel_soft
39,0.6162752,train,0.6046276,0.7439971976307241,gumbel_soft
39,0.6162752,val,0.6429326,0.7369945479327579,gumbel_soft
39,0.6162752,test,0.6103066,0.7453416149068323,gumbel_soft
40,0.6093144,train,0.60184616,0.749245271001847,gumbel_soft
40,0.6093144,val,0.60543466,0.7436960472512494,gumbel_soft
40,0.6093144,test,0.5923853,0.7486542443064182,gumbel_soft
41,0.61549675,train,0.615466,0.7426087510349659,gumbel_soft
41,0.61549675,val,0.60895926,0.746308496138119,gumbel_soft
41,0.61549675,test,0.63688165,0.7427018633540373,gumbel_soft
42,0.6177163,train,0.6091427,0.7457868925546144,gumbel_soft
